time_s,x_m,y_m,yaw_rad,icp_rmse_m,pairs,iterations,accepted
59.2,0.4703987810960802,-0.3130919394626127,-2.0670769201391956,0.007249722017624823,100,6,1
59.392,0.3974705401475327,-0.3582833972296151,-1.90347519491896,0.07940138523931349,87,25,1
59.584,0.3895799250168409,-0.3783715397763506,-1.827569560288767,0.03391996963309561,107,21,1
59.776,0.3928149084174761,-0.3752694160494211,-1.827454147670381,0.012801205139078835,127,5,1
59.968,0.3937496114362387,-0.3693051778039573,-1.8294608076971854,0.02356310826679321,125,8,1
60.160000000000004,0.38877548937956136,-0.3728693009702277,-1.8278268036076297,0.010927381662456314,128,5,1
60.352000000000004,0.3893697260975599,-0.37913854022098764,-1.8275275764462624,0.006962948719130311,128,5,1
60.544000000000004,0.4084419955809742,-0.3874140225134522,-1.8211790906588299,0.01052764753357918,129,8,1
60.736000000000004,0.3897972862600979,-0.37707978437602063,-1.8270828896625877,0.005742195119588661,128,9,1
60.928000000000004,0.39002492712554493,-0.37688625304615786,-1.8271715126224166,0.0032640348324385077,129,8,1
61.120000000000005,0.38956595720140236,-0.37734324677275066,-1.8271607610505063,0.002581231410184735,129,7,1
61.312000000000005,0.38981979077936524,-0.3770532666956399,-1.8271517828952932,0.0024459038641577568,129,8,1
61.504,0.39048955148524966,-0.37698727394587167,-1.8272298196573742,0.0029942220609038366,128,5,1
61.696,0.3895939016912306,-0.37545892003059184,-1.8274897249965572,0.002045286696729634,91,5,1
61.888,0.38878454944516394,-0.3632609896032647,-1.8307659957903597,0.00768370502219682,96,5,1
62.08,0.3894154828541426,-0.3483361936391929,-1.8344716100180922,0.009577288607655979,103,4,1
62.272,0.3807102834749871,-0.32578793598566114,-1.8405561841072282,0.02260827847326399,140,4,1
62.464,0.384458029513316,-0.3113783754760244,-1.8440292788133297,0.008250630460005695,141,4,1
62.656,0.3864578855431278,-0.29548211144751696,-1.847995092369703,0.008583849791663467,141,4,1
62.848,0.38253298411637543,-0.3166156341974544,-1.844106842798187,0.004420730795486912,141,6,1
63.04,0.38868331689281205,-0.34670449021168936,-1.8356865863039857,0.004544507741744927,103,9,1
63.232,0.38490816009886664,-0.3466798419184532,-1.695085231067272,0.0067270615667408586,106,4,1
63.424,0.3844085004080051,-0.3461989265390556,-1.5553679948751913,0.007107361537421976,111,4,1
63.616,0.384760538820121,-0.3463555484123121,-1.415255385236722,0.005398157583404042,113,3,1
63.808,0.38127770182885673,-0.3450335867687508,-1.2760163120337702,0.007659783465997138,112,4,1
64.0,0.3809122952741269,-0.3448084470567893,-1.136130174129489,0.008771345071397645,114,3,1
64.19200000000001,0.38712112266249415,-0.3386071168377713,-0.9980399582127921,0.024723496288097117,119,4,1
64.384,0.38624245937032664,-0.33743519937263006,-0.8575620613613507,0.010898419065904146,120,3,1
64.57600000000001,0.38244355122368356,-0.31956513096852557,-0.7072157027537286,0.01723486693649623,117,4,1
64.768,0.3862227037574765,-0.31825566201444533,-0.5496180254963872,0.017570174374736562,117,6,1
